Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,TT,BMag,l_SFRa,SFRa,l_Pa,Pa,l_Fa,Fa,l_SFRu,SFRu,l_Pu,Pu,l_Fu,Fu
KDG082,11,55,39.4,+,31,31,10,8,-16.43,,-1.76,,-0.55,,-0.03,,-1.76,,-0.55,,-0.03
LV J1157+5638,11,57,54.2,+,56,38,17,10,-12.22,,0.00,,0.00,,0.00,,-2.86,,0.14,,0.00
LV J1158+1535,11,58,40.4,+,15,35,34,10,-11.03,,0.00,,0.00,,0.00,,-3.72,,-0.25,,0.82
BTS76,11,58,44.1,+,27,35,6,10,-12.33,,-3.68,,-0.73,,0.00,,-3.88,,-0.93,,0.00
KUG 1157+315,12,0,16.2,+,31,13,30,8,-16.99,,0.00,,0.00,,0.00,,-0.99,,0.25,,-0.40
LV J1203+4739,12,3,0.0,+,47,39,15,10,-12.25,,0.00,,0.00,,0.00,,-2.84,,0.14,,0.00
LV J1203+3257,12,3,10.9,+,32,57,22,8,-12.78,,0.00,,0.00,,0.00,,-3.79,,-1.12,,0.00
NGC4068,12,4,2.4,+,52,35,19,9,-15.07,,-1.83,,0.03,,0.02,,-1.67,,0.19,,-0.14
NGC4080,12,4,51.8,+,26,59,33,8,-17.52,,-1.23,,-0.45,,-0.40,,-1.12,,-0.34,,-0.51
IC2992,12,5,15.9,+,30,51,20,9,-15.59,,-1.77,,-0.18,,-0.37,,-1.63,,-0.04,,-0.51
KUG 1202+286,12,5,23.3,+,28,21,56,8,-14.03,,0.00,,0.00,,0.00,,-2.40,,0.03,,0.00
LV J1205+2813,12,5,34.2,+,28,13,56,8,-12.53,,0.00,,0.00,,0.00,,-2.96,,-0.19,,0.00
MAPS1206+31,12,6,34.5,+,31,20,33,8,-13.64,,0.00,,0.00,,0.00,,-2.97,,-0.64,,0.00
LV J1207+3133,12,7,50.0,+,31,33,8,8,-11.93,,0.00,,0.00,,0.00,,-3.50,,-0.49,,0.00
UGC07131,12,9,11.8,+,30,54,24,8,-14.60,,0.00,,0.00,,0.00,,-1.46,,0.48,,0.19
NGC4136,12,9,17.7,+,29,55,39,5,-17.91,,-1.02,,-0.27,,-0.18,,-0.80,,-0.05,,-0.40
MCG +06-27-017,12,9,56.4,+,36,26,7,9,-13.03,,-3.71,,-1.46,,0.00,,-2.71,,-0.46,,0.00
NGC4144,12,9,59.3,+,46,27,26,7,-17.72,,-0.88,,-0.03,,-0.23,,-0.77,,0.08,,-0.34
IC3023,12,10,1.7,+,14,22,1,10,-14.24,,0.00,,0.00,,0.00,,-2.04,,0.15,,-0.26
NGC4150,12,10,33.6,+,30,24,6,-1,-18.28,,-2.02,,-1.88,,0.00,,-2.21,,-2.07,,0.00
NGC4163,12,12,8.9,+,36,10,10,9,-13.80,,-2.97,,-0.73,,0.26,,-2.42,,-0.18,,-0.29
KK127,12,13,22.7,+,29,55,18,8,-15.68,,0.00,,0.00,,0.00,,-1.65,,0.29,,0.12
NGC4190,12,13,44.6,+,36,38,0,9,-13.88,,-2.42,,-0.18,,0.01,,-2.23,,0.01,,-0.18
LV J1213+2957,12,13,48.4,+,29,57,32,10,-9.82,,0.00,,0.00,,0.00,,-3.92,,0.04,,0.00
ESO321-014,12,13,49.6,-,38,13,53,10,-12.70,,-3.10,,-0.21,,0.44,,-2.78,,0.11,,0.12
UGC07242,12,14,7.4,+,66,5,32,10,-14.15,,-2.76,,-0.54,,0.57,,-2.17,,0.05,,-0.02
VCC0114,12,14,35.2,+,5,40,38,10,-13.48,,0.00,,0.00,,0.00,,-2.78,,-0.29,,0.44
KDG090,12,14,57.9,+,36,13,8,10,-11.51,,-5.13,,-1.85,,0.82,<,-5.44,<,-2.16,>,1.13
UGC7257,12,15,3.0,+,35,57,31,8,-15.48,,0.00,,0.00,,0.00,,-1.31,,0.52,,-0.24
NGC4204,12,15,14.4,+,20,39,31,7,-16.82,,-1.05,,-0.04,,-0.25,,-1.11,,-0.10,,-0.19
UGC07267,12,15,23.6,+,51,21,0,8,-16.04,,-1.71,,-0.34,,0.42,,-1.39,,-0.02,,0.10
UGC07271,12,15,33.4,+,43,26,3,7,-16.61,,-1.45,,0.09,,0.27,,-1.19,,0.35,,0.01
NGC4214,12,15,38.9,+,36,19,39,8,-17.20,,-0.83,,0.31,,-0.56,,-0.88,,0.26,,-0.51
MCG +09-20-131,12,15,46.7,+,52,23,15,10,-13.11,,-3.84,,-1.20,,1.34,,-2.53,,0.11,,0.03
VCC0169,12,15,56.2,+,9,38,57,10,-13.28,,0.00,,0.00,,0.00,,-3.69,,-1.12,,1.86
IC3077,12,15,56.3,+,14,25,59,9,-14.93,,-2.87,,-0.89,,-0.03,,-3.31,,-1.33,,0.41
UGC07298,12,16,28.6,+,52,13,38,10,-12.27,,-4.25,,-1.36,,1.66,,-2.88,,0.01,,0.29
NGC4236,12,16,43.3,+,69,27,56,8,-18.57,,-0.60,,-0.08,,-0.12,,-0.39,,0.13,,-0.33
LV J1217+4703,12,17,10.1,+,47,3,49,10,-11.03,,0.00,,0.00,,0.00,,-4.89,,-1.42,,1.46
UGC07320,12,17,28.5,+,44,48,41,10,-14.47,,0.00,,0.00,,0.00,,-2.61,,-0.51,,0.28
NGC4244,12,17,29.9,+,37,48,27,6,-18.15,,-0.86,,-0.28,,0.22,,-0.46,,0.12,,-0.18
NGC4242,12,17,30.2,+,45,37,10,7,-18.03,,-1.05,,-0.38,,-0.12,,-0.92,,-0.25,,-0.25
LV J1217+3231,12,17,32.0,+,32,31,57,9,-10.71,,0.00,,0.00,,0.00,,-3.70,,-0.10,,0.00
UGC7321,12,17,34.0,+,22,32,25,7,-18.44,,0.00,,0.00,,0.00,,-0.23,,0.34,,-0.31
KKH78,12,17,44.5,+,33,20,43,10,-10.72,,0.00,,0.00,,0.00,,-4.95,,-1.35,,0.00
NGC4248,12,17,49.9,+,47,24,33,8,-16.29,,-1.92,,-0.60,,-0.16,,-2.22,,-0.90,,0.14
LV J1218+4655,12,18,11.1,+,46,55,1,8,-12.33,,0.00,,0.00,,0.00,,-2.89,,-0.04,,0.00
AGC229053,12,18,15.5,+,25,34,6,10,-13.48,,0.00,,0.00,,0.00,,-2.56,,-0.07,,0.45
KDG098,12,18,29.4,+,28,38,45,-1,-13.37,,0.00,,0.00,,0.00,,-4.11,,-2.27,,0.00
IC3104,12,18,46.1,-,79,43,34,9,-14.83,,-2.37,,-0.61,,-0.60,,0.00,,0.00,,0.00
NGC4258,12,18,57.5,+,47,18,14,4,-21.20,,0.46,,-0.35,,-0.69,,0.42,,-0.39,,-0.65
KK132,12,19,6.5,+,47,43,51,-1,-11.03,,0.00,,0.00,,0.00,,-5.17,,-2.40,,0.00
KDG101,12,19,9.1,+,47,5,23,10,-13.63,,-3.92,,-1.49,,0.00,,-4.50,,-2.07,,0.00
KK133,12,19,32.8,+,43,23,11,10,-11.94,,0.00,,0.00,,0.00,,-3.11,,0.00,,0.12
KK134,12,19,33.8,+,47,27,6,-3,-12.53,,0.00,,0.00,,0.00,,-4.30,,-2.13,,0.00
d1219+4705,12,19,36.8,+,47,5,33,-3,-10.97,,0.00,,0.00,,0.00,<,-4.55,<,-1.75,,0.00
IC 779,12,19,38.7,+,29,53,0,-1,-15.97,,0.00,,0.00,,0.00,,-3.30,,-2.20,,0.00
VCC0381,12,19,54.1,+,6,39,57,10,-11.70,,0.00,,0.00,,0.00,,-3.33,,-0.13,,0.60
[KKH2011]S11,12,20,30.1,+,47,29,25,-3,-9.04,,0.00,,0.00,,0.00,,-4.36,,-0.79,,0.00
NGC4288,12,20,38.1,+,46,17,30,7,-16.43,,-1.25,,0.27,,-0.01,,-1.12,,0.40,,-0.14
CVnHI,12,20,43.4,+,46,12,33,11,0.00,,0.00,,0.00,,0.00,,-5.34,,0.00,,1.91
KUG 1218+387,12,20,54.9,+,38,25,49,9,-14.20,,0.00,,0.00,,0.00,,-2.12,,0.08,,-0.02
d1220+4649,12,20,55.0,+,46,49,45,-3,-10.14,,0.00,,0.00,,0.00,,-4.81,,-1.68,,0.00
DDO120,12,21,15.0,+,45,48,41,9,-15.75,,-4.16,,-2.73,,2.30,,-1.96,,-0.53,,0.10
KDG104,12,21,27.9,+,15,1,28,10,-13.13,,0.00,,0.00,,0.00,,-3.38,,-0.75,,0.57
KDG105,12,21,43.0,+,37,59,14,10,-12.78,,0.00,,0.00,,0.00,,-3.30,,-0.53,,0.78
NGC4308,12,21,56.9,+,30,4,27,-1,-16.71,,0.00,,0.00,,0.00,,-3.08,,-2.30,,0.00
KK138,12,21,58.4,+,28,14,34,10,-10.39,,0.00,,0.00,,0.00,<,-4.75,<,-1.02,>,1.13
GR34,12,22,7.6,+,15,47,57,10,-13.91,,0.00,,0.00,,0.00,,-2.85,,-0.53,,-0.08
VCC0565,12,22,38.5,+,6,0,52,10,-14.15,,0.00,,0.00,,0.00,,-2.85,,-0.63,,0.04
KK141,12,22,52.7,+,33,49,43,10,-12.90,,0.00,,0.00,,0.00,,-2.67,,0.05,,0.00
IC3247,12,23,14.0,+,28,53,38,7,-17.26,,0.00,,0.00,,0.00,,-1.28,,-0.40,,-0.07
BTS132,12,23,46.2,+,47,39,32,-3,-11.14,,0.00,,0.00,,0.00,,-4.82,,-2.09,,0.00
IC3308,12,25,17.9,+,26,42,53,8,-15.45,,-1.84,,-0.24,,0.54,,0.00,,0.00,,0.00
KK144,12,25,27.9,+,28,28,57,10,-12.54,,-3.26,,-0.39,,1.25,,-2.47,,0.40,,0.46
UGC07512,12,25,41.3,+,2,9,32,10,-15.01,,0.00,,0.00,,0.00,,-2.07,,-0.19,,0.46
VCC0841,12,25,47.0,+,14,57,7,9,-14.11,,0.00,,0.00,,0.00,,-2.91,,-0.67,,0.05
NGC4395,12,25,49.8,+,33,32,46,8,-17.81,,-0.78,,-0.09,,-0.04,,-0.49,,0.20,,-0.33
UGCA281,12,26,16.0,+,48,29,31,10,-13.69,,-1.30,,1.02,,-0.81,,-1.78,,0.54,,-0.33
SBS 1224+533,12,26,52.6,+,53,6,19,9,-12.62,,0.00,,0.00,,0.00,,-2.65,,0.19,,0.00
ComaI,12,26,59.0,+,23,54,15,-3,-3.23,,0.00,,0.00,,0.00,<,-9.11,<,-3.22,>,0.87
DDO126,12,27,5.1,+,37,8,33,10,-14.38,,-2.08,,-0.02,,0.23,,-1.87,,0.19,,0.02
DDO125,12,27,41.8,+,43,29,38,9,-14.33,,-2.79,,-0.75,,0.40,,-2.27,,-0.23,,-0.12
UGC07584,12,28,2.9,+,22,35,22,9,-13.73,,-2.46,,-0.07,,0.37,,-2.10,,0.29,,0.01
KKH80,12,28,5.4,+,22,17,27,10,-12.65,,-4.08,,-1.25,,1.29,,-2.72,,0.11,,-0.07
NGC4449,12,28,11.2,+,44,5,40,8,-18.28,,-0.21,,0.26,,-1.02,,-0.25,,0.22,,-0.98
DDO127,12,28,28.5,+,37,14,0,10,-14.28,,-2.97,,-0.80,,1.10,,-1.96,,0.21,,0.09
UGC07596,12,28,33.9,+,8,38,23,10,-13.50,,0.00,,0.00,,0.00,,-3.21,,-0.73,,-0.40
UGC07605,12,28,39.0,+,35,43,5,10,-13.53,,-2.62,,-0.13,,0.07,,-2.24,,0.25,,-0.31
NGC4455,12,28,44.1,+,22,49,21,7,-16.91,,-1.20,,-0.01,,-0.05,,-1.05,,0.14,,-0.20
DDO129,12,28,44.2,+,43,13,27,8,-16.15,,-1.47,,-0.14,,0.19,,-1.22,,0.11,,-0.06
LV J1228+4358,12,28,44.9,+,43,58,18,10,-13.94,,0.00,,0.00,,0.00,<,-5.13,<,-2.82,,0.00
NGC4460,12,28,45.8,+,44,51,52,1,-17.73,,-0.76,,-0.28,,-1.03,,-1.47,,-0.99,,-0.32
KK149,12,28,52.3,+,42,10,40,10,-14.85,,-2.49,,-0.54,,0.39,,-2.23,,-0.28,,0.13
UGC07639,12,29,53.0,+,47,31,48,9,-15.19,,-2.94,,-1.13,,0.69,,-1.97,,-0.16,,-0.28
UGC07636,12,30,1.0,+,7,55,46,10,-13.77,,0.00,,0.00,,0.00,,-3.35,,-0.97,,-0.35
KK151,12,30,23.8,+,42,54,5,9,-13.36,,-2.97,,-0.43,,0.40,,-2.45,,0.09,,-0.12
NGC4485,12,30,31.2,+,41,42,0,8,-16.72,,-1.08,,0.44,,-0.22,,-1.00,,0.52,,-0.30
NGC4490,12,30,36.4,+,41,38,37,7,-19.42,,-0.10,,0.13,,-0.55,,-0.29,,-0.06,,-0.36
CGCG 014-054,12,31,3.8,+,1,40,33,9,-14.39,,0.00,,0.00,,0.00,,-2.32,,-0.19,,0.15
MAPS1231+42,12,31,9.0,+,42,5,39,10,-11.10,,0.00,,0.00,,0.00,,-3.39,,0.06,,-0.26
DDO131,12,31,58.6,+,29,42,35,10,-14.34,,0.00,,0.00,,0.00,,-1.94,,0.21,,0.13
UGC7678,12,32,0.4,+,39,49,55,9,-14.76,,-1.93,,0.21,,-0.18,,-1.74,,0.40,,-0.37
UGC07690,12,32,26.9,+,42,42,15,8,-17.27,,-1.20,,0.08,,-0.03,,-0.97,,0.31,,-0.26
NGC4517,12,32,45.5,+,0,6,54,7,-20.20,,0.00,,0.00,,0.00,,-0.55,,-0.81,,0.03
UGC07699,12,32,48.0,+,37,37,18,7,-17.98,,-0.87,,0.08,,0.03,,-0.46,,0.49,,-0.38
DDO133,12,32,53.0,+,31,32,21,10,-14.97,,-1.86,,0.04,,0.19,,-1.73,,0.17,,0.06
NGC4509,12,33,6.8,+,32,5,30,9,-15.97,,0.00,,0.00,,0.00,,-1.26,,0.15,,-0.63
BTS142,12,33,7.4,+,38,6,58,10,-11.61,,0.00,,0.00,,0.00,,-3.27,,-0.03,,0.55
KDG155,12,33,8.0,-,0,31,59,10,-13.24,,0.00,,0.00,,0.00,,-3.52,,-0.93,,1.30
KK152,12,33,24.9,+,33,21,5,10,-12.97,,0.00,,0.00,,0.00,,-2.48,,0.22,,0.15
UGC7719,12,34,0.6,+,39,1,10,8,-14.64,,-1.77,,0.16,,0.12,,-1.69,,0.24,,0.04
NGC4534,12,34,5.5,+,35,31,6,8,-16.90,,-0.96,,0.36,,0.09,,-0.73,,0.59,,-0.14
UGC7751,12,35,11.8,+,41,3,39,9,-13.10,,0.00,,0.00,,0.00,,-2.43,,0.22,,0.14
LV J1235-1104,12,35,39.4,-,11,4,2,10,-14.48,,0.00,,0.00,,0.00,,-1.80,,0.29,,-0.63
NGC4559,12,35,57.7,+,27,57,35,6,-19.80,,0.06,,0.08,,-0.49,,0.11,,0.13,,-0.54
UGC07774,12,36,22.5,+,40,0,19,7,-17.87,,-1.04,,-0.50,,0.53,,-0.55,,-0.01,,0.04
VCC1675,12,36,35.0,+,8,3,17,9,-14.68,,0.00,,0.00,,0.00,,-2.51,,-0.60,,-0.59
IC3583,12,36,43.5,+,13,15,34,9,-16.35,,0.00,,0.00,,0.00,,-1.43,,0.10,,-0.61
MAPS1236+33,12,36,49.4,+,33,36,48,10,-13.51,,0.00,,0.00,,0.00,,-2.57,,-0.09,,0.17
IC3591,12,37,3.0,+,6,55,36,9,-15.69,,-1.19,,0.29,,-0.44,,-1.58,,-0.10,,-0.05
KKSG29,12,37,14.1,-,10,29,51,10,-13.01,,0.00,,0.00,,0.00,,-2.91,,-0.23,,0.05
Arp211,12,37,21.3,+,38,44,43,10,-13.44,,-2.54,,-0.03,,0.03,,-1.92,,0.59,,-0.59
VCC1713,12,37,29.1,+,4,45,5,9,-13.53,,0.00,,0.00,,0.00,,-2.60,,-0.13,,-0.19
KKSG30,12,37,35.9,-,8,52,2,10,-13.64,,0.00,,0.00,,0.00,,-2.80,,-0.37,,0.22
VCC1725,12,37,41.2,+,8,33,33,9,-14.86,,0.00,,0.00,,0.00,,-1.66,,0.00,,-0.61
KKSG31,12,38,33.7,-,10,29,25,-3,-12.27,,0.00,,0.00,,0.00,<,-4.38,<,-2.10,>,1.50
UGCA292,12,38,40.0,+,32,46,0,10,-11.79,,-2.65,,0.75,,0.22,,-2.59,,0.81,,0.16
UGC07827,12,39,38.9,+,44,49,15,10,-13.77,,-1.87,,0.51,,0.09,,-2.08,,0.30,,0.30
KKSG32,12,39,55.0,-,11,44,48,-3,-11.55,,0.00,,0.00,,0.00,,-4.69,,-2.13,,1.81
KDG177,12,39,58.5,+,13,46,53,10,-13.35,,0.00,,0.00,,0.00,,-2.67,,-0.12,,0.49
NGC4594,12,39,59.1,-,11,37,23,1,-21.82,,-1.03,,-2.19,,-0.48,,-0.53,,-1.69,,-0.98
NGC4605,12,40,0.3,+,61,36,29,8,-18.07,,-0.67,,-0.23,,-0.77,,-0.78,,-0.34,,-0.66
AGC749241,12,40,1.7,+,26,19,19,10,-11.58,,0.00,,0.00,,0.00,,-3.11,,0.14,,0.42
BTS146,12,40,2.1,+,38,0,2,10,-12.23,,0.00,,0.00,,0.00,,-3.44,,-0.45,,0.54
SUCD1,12,40,3.1,-,11,40,4,-1,-11.46,,0.00,,0.00,,0.00,<,-4.47,<,-1.70,>,1.75
KKSG33,12,40,8.9,-,12,21,53,-3,-11.54,<,-3.44,<,-0.87,>,0.56,<,-4.33,<,-1.76,>,1.45
NGC4597,12,40,12.9,-,5,47,57,8,-17.81,,-0.75,,0.73,,0.00,,-0.70,,0.78,,-0.05
NGC4600,12,40,23.0,+,3,7,4,0,-15.75,,-2.12,,-1.11,,-0.69,,-3.55,,-2.54,,0.74
KKSG34,12,41,18.9,-,11,55,39,-3,-12.07,,0.00,,0.00,,0.00,<,-4.31,<,-1.95,>,1.43
NGC4618,12,41,32.8,+,41,9,3,6,-18.33,,-0.55,,-0.06,,-0.42,,-0.51,,-0.02,,-0.46
LV J1241+3251,12,41,47.3,+,32,51,28,10,-13.00,,0.00,,0.00,,0.00,,-2.44,,0.25,,-0.23
NGC4625,12,41,52.7,+,41,16,26,7,-16.54,,-1.24,,-0.32,,-0.14,,-1.19,,-0.27,,-0.19
NGC4627,12,41,59.7,+,32,34,25,-3,-16.38,,-4.24,,-3.61,,0.00,,-2.43,,-1.80,,0.00
NGC4631,12,42,8.0,+,32,32,29,7,-20.28,,-0.18,,-0.53,,0.03,,0.47,,0.12,,-0.62
IC3687,12,42,15.1,+,38,30,7,10,-14.60,,-1.89,,0.06,,-0.08,,-1.75,,0.20,,-0.22
BTS151,12,43,24.6,+,32,28,56,-2,-11.99,,0.00,,0.00,,0.00,<,-4.64,<,-2.25,,0.00
LV J1243+3232,12,43,44.6,+,32,32,4,-1,-10.39,,0.00,,0.00,,0.00,<,-4.64,<,-1.61,,0.00
KDG192,12,43,45.0,+,53,57,32,10,-12.82,,0.00,,0.00,,0.00,,-2.42,,0.34,,0.43
LV J1243+4127,12,43,55.7,+,41,27,25,10,-11.80,,0.00,,0.00,,0.00,,-3.33,,-0.17,,0.48
KK160,12,43,57.4,+,43,39,41,10,-10.85,,-4.88,,-1.34,,1.60,,-4.43,,-0.89,,1.15
NGC4656,12,43,57.6,+,32,10,13,8,-18.20,,-0.52,,0.02,,-0.16,,-0.01,,0.53,,-0.67
[KK2000] 51,12,44,21.5,-,42,56,23,10,-10.86,,0.00,,0.00,,0.00,<,-5.01,<,-1.47,>,1.47
DDO143,12,44,25.1,+,34,23,11,10,-13.88,,-1.63,,0.70,,0.19,,-1.60,,0.73,,0.16
UGCA294,12,44,38.1,+,28,28,21,9,-15.23,,0.00,,0.00,,0.00,,-1.57,,0.22,,-0.21
IC3718,12,44,46.0,+,12,21,5,8,-15.29,<,-2.74,<,-0.82,>,0.00,,-2.81,,-0.89,,0.07
ESO381-020,12,46,0.4,-,33,50,17,10,-14.52,,-1.76,,0.43,,0.26,,-1.77,,0.42,,0.27
VCC2033,12,46,4.5,+,8,28,35,9,-14.76,,0.00,,0.00,,0.00,,-2.11,,-0.29,,-0.75
VCC2037,12,46,15.3,+,10,12,12,10,-13.66,,0.00,,0.00,,0.00,,-2.56,,-0.14,,-0.64
UGCA298,12,46,55.4,+,26,33,51,9,-15.02,,0.00,,0.00,,0.00,,-2.23,,-0.52,,-0.34
UGC07950,12,46,56.4,+,51,36,47,9,-15.21,,-1.91,,-0.14,,0.09,,-1.41,,0.36,,-0.41
DDO147,12,46,59.8,+,36,28,35,10,-13.62,,-2.80,,-0.36,,0.91,,-2.13,,0.31,,0.24
FGC1497,12,47,0.6,+,32,39,5,8,-15.12,,0.00,,0.00,,0.00,,-1.94,,-0.20,,0.33
NGC4707,12,48,22.9,+,51,9,53,10,-15.45,,-2.00,,-0.01,,0.08,,-1.71,,0.28,,-0.21
DDO148,12,48,43.1,-,5,15,14,8,-16.19,,0.00,,0.00,,0.00,,-2.16,,-0.85,,0.12
KK165,12,48,52.7,+,31,58,13,-1,-11.23,,0.00,,0.00,,0.00,<,-4.90,<,-2.21,,0.00
NGC4700,12,49,7.6,-,11,24,41,7,-17.13,,-1.74,,-0.46,,0.30,,-0.86,,0.42,,-0.58
KK166,12,49,13.3,+,35,36,45,-3,-10.82,,-4.81,,-1.95,,0.00,<,-5.02,<,-2.16,,0.00
MAPS1249+44,12,49,31.0,+,44,21,33,9,-12.44,,0.00,,0.00,,0.00,,-2.92,,-0.01,,0.14
UGC07983,12,49,47.0,+,3,50,32,10,-13.85,,0.00,,0.00,,0.00,,-2.35,,0.00,,0.50
UGC07990,12,50,27.2,+,28,21,10,8,-15.44,,-2.39,,-0.78,,0.92,,0.00,,0.00,,0.00
NGC4736,12,50,53.5,+,41,7,10,2,-19.86,,-0.38,,-0.86,,-1.17,,-0.48,,-0.96,,-1.07
BTS157,12,51,13.3,+,47,4,15,10,-12.38,,0.00,,0.00,,0.00,,-3.70,,-0.77,,0.79
KK167,12,51,44.4,+,26,6,38,10,-13.47,,0.00,,0.00,,0.00,,-2.25,,0.25,,0.06
IC3840,12,51,46.1,+,21,44,7,10,-11.97,,0.00,,0.00,,0.00,,-2.69,,0.41,,0.03
NGC4765,12,53,14.4,+,4,27,47,9,-16.76,,0.00,,0.00,,0.00,,-1.11,,0.06,,-0.33
KKSG38,12,53,31.6,-,5,55,40,10,-13.24,,0.00,,0.00,,0.00,,-2.26,,0.33,,-0.25
DDO153,12,53,57.5,-,12,6,31,9,-15.16,,-1.56,,0.26,,0.23,,-1.60,,0.22,,0.27
DDO154,12,54,5.2,+,27,8,55,10,-14.00,,-2.52,,0.02,,0.93,,-1.91,,0.63,,0.32
UGC08030,12,54,29.4,+,26,18,18,10,-14.36,,0.00,,0.00,,0.00,,-2.15,,-0.01,,0.17
ESO443-009,12,54,53.6,-,28,20,27,10,-12.08,,0.00,,0.00,,0.00,,-2.83,,0.22,,0.10
KDG215,12,55,40.5,+,19,12,33,10,-11.89,,0.00,,0.00,,0.00,,-3.21,,-0.08,,0.84
ESO219-010,12,56,9.6,-,50,8,38,-3,-12.70,,-3.11,,-1.01,,-1.04,,0.00,,0.00,,0.00
KDG216,12,56,25.0,+,15,5,9,-3,-12.07,,0.00,,0.00,,0.00,<,-4.80,<,-2.44,>,1.70
UGC08061,12,56,43.4,+,11,55,52,10,-13.22,,-3.02,,-0.42,,0.48,,-2.70,,-0.10,,0.16
NGC4826,12,56,44.2,+,21,41,5,2,-19.51,,-0.65,,-0.99,,-0.96,,-1.03,,-1.37,,-0.58
CVnII,12,57,10.0,+,34,19,15,-3,-4.10,,0.00,,0.00,,0.00,,-7.36,,-1.82,,1.59
GR8,12,58,40.4,+,14,13,3,10,-11.96,,-2.69,,0.63,,-0.29,,-2.64,,0.68,,-0.34
HIPASS J1258-04,12,58,49.6,-,4,53,19,10,-13.91,,0.00,,0.00,,0.00,,-2.24,,0.08,,0.04
NGC4861,12,59,2.0,+,34,51,37,9,-16.52,,-0.52,,0.76,,-0.76,,-0.85,,0.43,,-0.43
KK176,12,59,56.3,-,19,24,47,10,-12.85,,0.00,,0.00,,0.00,,-2.95,,-0.21,,0.84
UGCA319,13,2,14.4,-,17,14,15,10,-14.63,,-3.10,,-1.19,,1.20,,-2.08,,-0.17,,0.18
KK177,13,2,41.9,+,21,59,51,-2,-10.98,,0.00,,0.00,,0.00,<,-5.01,<,-2.22,,0.00
DDO161,13,3,16.8,-,17,25,23,8,-16.39,,-1.11,,0.12,,0.24,,-0.89,,0.34,,0.02
ESO269-037,13,3,33.6,-,46,35,3,10,-11.99,,-4.31,,-1.22,,0.04,,-3.62,,-0.53,,-0.65
KK180,13,4,29.9,+,17,45,32,-2,-11.02,,0.00,,0.00,,0.00,<,-5.06,<,-2.28,,0.00
KK182,13,5,2.9,-,40,4,58,10,-12.92,,-3.28,,-0.61,,1.03,,-2.58,,0.09,,0.33
NGC4945,13,5,26.1,-,49,28,16,6,-20.54,,0.05,,-0.56,,-1.13,,0.00,,0.00,,0.00
KDG218,13,5,44.0,-,7,45,20,-1,-11.89,,0.00,,0.00,,0.00,,-4.85,,-2.42,,1.59
IC4182,13,5,49.3,+,37,36,21,8,-16.40,,-1.53,,-0.16,,0.02,,-1.22,,0.15,,-0.29
DDO165,13,6,26.8,+,67,42,15,9,-15.09,,-2.63,,-0.67,,0.80,,-1.70,,0.26,,-0.13
MCG -03-34-002,13,7,56.6,-,16,41,21,9,-15.05,,0.00,,0.00,,0.00,,-1.86,,0.18,,-0.29
UGC08215,13,8,3.6,+,46,49,41,10,-12.30,,-3.47,,-0.51,,0.87,,-2.95,,0.01,,0.35
UGC08245,13,8,34.2,+,78,56,13,9,-11.89,,-3.77,,-0.67,,0.00,,-3.21,,-0.11,,0.00
MCG -04-31-038,13,9,36.6,-,27,8,26,10,-14.70,,0.00,,0.00,,0.00,,-1.90,,-0.55,,0.01
ESO269-058,13,10,32.9,-,46,59,27,9,-15.07,,-3.49,,-2.22,,1.00,,-2.37,,-1.10,,-0.12
[KK2000] 53,13,11,14.2,-,38,54,22,-3,-10.86,,0.00,,0.00,,0.00,<,-5.01,<,-2.17,>,1.47
NGC5023,13,12,11.9,+,44,2,19,7,-17.06,,-1.23,,-0.18,,0.01,,-0.88,,0.17,,-0.34
KK189,13,12,45.0,-,41,49,55,-3,-10.86,<,-5.27,<,-2.43,>,0.62,<,-4.79,<,-1.95,>,0.14
CGCG 217-018,13,12,51.8,+,40,32,35,9,-14.73,,-2.08,,-0.06,,0.00,,-2.01,,0.01,,0.00
KKH82,13,12,58.7,+,41,47,12,10,-13.19,,0.00,,0.00,,0.00,,-3.55,,-0.94,,0.00
ESO269-066,13,13,9.2,-,44,53,24,-1,-13.72,<,-5.37,<,-3.67,>,0.44,<,-4.95,<,-3.25,>,0.02
NGC5011C,13,13,11.9,-,43,15,56,-1,-14.07,,0.00,,0.00,,0.00,,-3.39,,-1.20,,0.65
DDO167,13,13,22.8,+,46,19,11,10,-12.70,,-2.88,,0.08,,0.20,,-2.50,,0.46,,-0.18
KK191,13,13,39.7,+,42,2,39,10,-10.75,,0.00,,0.00,,0.00,,-4.96,,-1.38,,1.30
DDO168,13,14,28.6,+,45,55,10,10,-15.28,,-2.11,,-0.12,,0.59,,-1.76,,0.23,,0.24
DDO169NW,13,15,20.1,+,47,32,37,10,-10.16,,0.00,,0.00,,0.00,,-3.02,,0.80,,0.12
DDO169,13,15,30.7,+,47,29,47,10,-13.80,,-2.70,,-0.30,,0.58,,-2.22,,0.18,,0.10
KK193,13,15,31.2,+,41,30,5,10,-11.12,,0.00,,0.00,,0.00,,-4.97,,-1.53,,0.00
NGC5055,13,15,49.3,+,42,1,45,4,-20.98,,0.20,,-0.66,,-0.45,,0.11,,-0.75,,-0.36
KK194,13,17,19.5,+,44,23,48,10,-12.47,,0.00,,0.00,,0.00,,-3.77,,-0.87,,0.00
NGC5068,13,18,55.3,-,21,2,21,6,-18.63,,-0.28,,0.08,,-0.72,,-0.50,,-0.14,,-0.50
